obs_alt,obs_vel,obs_fuel,obs_pitch,obs_heading,obs_roll,obs_pos_x,obs_pos_y,obs_pos_z,act_throttle,act_stage
18.644358630408533,2.03762620558879,2508.996826171875,89.78970336914062,42.18083572387695,41.51930236816406,159786.07531515867,-1018.0160671178832,-578426.0392102434,1.0,0.0
18.92511355422903,2.5360258469388564,2506.5517578125,89.79345703125,40.161399841308594,39.39593505859375,159786.15023479634,-1018.0155943561925,-578426.3097860278,1.0,0.0
19.265753324958496,3.0355445296982495,2504.1064453125,89.86294555664062,33.98263168334961,33.099578857421875,159786.241211776,-1018.0147999529376,-578426.6380561541,1.0,0.0
19.66640643705614,3.536056583407274,2501.6611328125,89.9072265625,271.0822448730469,-90.0,159786.34770353272,-1018.0143102039232,-578427.0243016154,1.0,0.0
20.127207048237324,4.037725919848378,2499.21630859375,89.86294555664062,43.37385940551758,42.24491882324219,159786.47012753584,-1018.0139911551609,-578427.4685428971,1.0,0.0
20.648271707934327,4.540326591189764,2496.77099609375,89.7451171875,48.21571731567383,46.96112060546875,159786.6096128222,-1018.0129700083866,-578427.9705973949,1.0,0.0
21.22971491352655,5.0438040578891785,2494.32568359375,89.66195678710938,47.25123596191406,45.87571716308594,159786.76692433012,-1018.010440819396,-578428.5303648569,1.0,0.0
21.76046499039512,5.464405825530117,2492.2880859375,89.6834716796875,44.1566276550293,42.684783935546875,159786.9113300431,-1018.0072400723233,-578429.0411131266,1.0,0.0
22.333325787330978,5.885755097162274,2490.25048828125,89.77972412109375,38.46766662597656,36.89979553222656,159787.06709121328,-1018.0036032129659,-578429.592408025,1.0,0.0
23.07642845902592,6.392222876534253,2487.805419921875,89.89532470703125,271.77716064453125,-90.0,159787.26808234365,-1017.9995949123635,-578430.3078384898,1.0,0.0
23.880390579579398,6.899846035495189,2485.3603515625,89.89913940429688,271.8745422363281,-90.0,159787.48458534176,-1017.9962955047025,-578431.0821139185,1.0,0.0
24.74534245627001,7.40844463003322,2482.9150390625,89.7513427734375,53.74795913696289,51.839935302734375,159787.71810053493,-1017.9928267825975,-578431.914964295,1.0,0.0
25.671386328642257,7.917784711051725,2480.469970703125,89.60287475585938,51.8367919921875,49.820709228515625,159787.97011174512,-1017.9878296260371,-578432.8060839137,1.0,0.0
26.658625017968006,8.428412433818917,2478.02490234375,89.60781860351562,46.407493591308594,44.289337158203125,159788.24048713455,-1017.9808214534654,-578433.7556287497,1.0,0.0
27.707224923418835,8.940192566582898,2475.57958984375,89.772705078125,34.25768280029297,32.0396728515625,159788.52741332323,-1017.9728032876386,-578434.7642660915,1.0,0.0
28.817294907057658,9.452718480206974,2473.13427734375,89.93145751953125,272.3929443359375,-90.0,159788.8291363009,-1017.9654199187293,-578435.8325895941,1.0,0.0
29.988955535227433,9.966529625719458,2470.689453125,89.95574951171875,272.4655456542969,-90.0,159789.14595587074,-1017.9593101446166,-578436.9606299204,1.0,0.0
31.222353272722103,10.481240666177513,2468.244140625,89.73165893554688,61.446964263916016,58.91465759277344,159789.48023624788,-1017.9533274103536,-578438.1478940798,1.0,0.0
32.51755417115055,10.996447765488982,2465.798828125,89.5244140625,56.193790435791016,53.56309509277344,159789.83410174784,-1017.9455520291461,-578439.3938691446,1.0,0.0
33.87466450431384,11.513149568312752,2463.353759765625,89.5445556640625,47.65438461303711,44.92930603027344,159790.2070923547,-1017.9351871688499,-578440.6987965041,1.0,0.0
35.293860638164915,12.030940467544063,2460.90869140625,89.7779541015625,25.484376907348633,22.665695190429688,159790.59646670215,-1017.9235168625249,-578442.0636254221,1.0,0.0
36.775243850424886,12.549365597806059,2458.46337890625,89.9072265625,272.9537353515625,-90.0,159790.9998902987,-1017.9128556926383,-578443.4890824374,1.0,0.0
38.31892707082443,13.069243065245173,2456.018310546875,90.0,273.0020751953125,-90.0,159791.41830044234,-1017.9042270411386,-578444.9750282584,1.0,0.0
39.92508947267197,13.59000554800744,2453.5732421875,89.71060180664062,70.44878387451172,67.32283020019531,159791.85453929534,-1017.896130137576,-578446.5208532383,1.0,0.0
41.593775006593205,14.111263145790204,2451.1279296875,89.44927978515625,59.09946060180664,55.879638671875,159792.31092831926,-1017.8859787662162,-578448.1259867089,1.0,0.0
43.32509272207972,14.634008628232285,2448.682861328125,89.48794555664062,46.52995300292969,43.21589660644531,159792.78654352308,-1017.8726419885292,-578449.7907968697,1.0,0.0
45.119223986403085,15.15798527206596,2446.23779296875,89.76593017578125,15.737095832824707,12.32958984375,159793.2786372414,-1017.8575003374948,-578451.5162427276,1.0,0.0
46.97630333690904,15.682644516898621,2443.79248046875,89.8658447265625,275.4521789550781,-88.05572509765625,159793.7850171673,-1017.843479045166,-578453.3030307315,1.0,0.0
48.89641862548888,16.208568891771073,2441.34716796875,89.92340087890625,273.5304260253906,-90.0,159794.30674101392,-1017.8318573464288,-578455.1509687552,1.0,0.0
50.87974033190403,16.735504154488716,2438.90234375,89.6810302734375,82.62998962402344,78.92001342773438,159794.84674155788,-1017.8214506138696,-578457.0594213507,1.0,0.0
52.926329005742446,17.263017702685044,2436.45703125,89.42904663085938,62.4568977355957,58.65107727050781,159795.40701859523,-1017.8091797162427,-578459.027927265,1.0,0.0
55.0362972356379,17.79185953694861,2434.01171875,89.48641967773438,43.87440872192383,39.97760009765625,159795.98647154614,-1017.7936312188043,-578461.0568898829,1.0,0.0
57.20981432416011,18.32202179392644,2431.566650390625,89.749755859375,3.6363534927368164,-0.35791015625,159796.582162023,-1017.7758970488443,-578463.1473189031,1.0,0.0
59.06971908104606,18.76436775090559,2429.529052734375,89.83929443359375,287.7747497558594,-76.30126953125,159797.0896496733,-1017.7617611218824,-578464.9367423701,1.0,0.0
61.360061632003635,19.296119089962605,2427.083984375,89.8846435546875,274.0664367675781,-90.0,159797.7127507311,-1017.7471148897542,-578467.1407784782,1.0,0.0
63.71432289481163,19.829069985086953,2424.638671875,89.68783569335938,97.89325714111328,93.61396789550781,159798.3543418909,-1017.7344007421865,-578469.4060010937,1.0,0.0
66.13257684349082,20.36270742801872,2422.193603515625,89.44821166992188,69.72413635253906,65.34796142578125,159799.0162373299,-1017.7205919553174,-578471.7320223713,1.0,0.0
68.61492091719992,20.89736368750623,2419.74853515625,89.48300170898438,45.831443786621094,41.36341857910156,159799.69766812626,-1017.7036514212026,-578474.1191479691,1.0,0.0
71.16152303060517,21.43347388704923,2417.30322265625,89.7012939453125,2.335008144378662,-2.230072021484375,159800.39531780343,-1017.6840400923624,-578476.5684739625,1.0,0.0
73.77253631397616,21.97039600064333,2414.858154296875,89.81338500976562,288.821533203125,-75.84259033203125,159801.10775537186,-1017.6647708345785,-578479.0805284084,1.0,0.0
75.99762622476555,22.418421384630747,2412.8203125,89.87966918945312,207.2867431640625,-157.46209716796875,159801.71320904625,-1017.6506089497938,-578481.221751189,1.0,0.0
79.18815766996704,23.04712415964167,2409.9677734375,89.6309814453125,102.35711669921875,97.48928833007812,159802.58322883106,-1017.6333613921537,-578484.2914752525,1.0,0.0
81.99302347039338,23.586883323709642,2407.5224609375,89.4517822265625,73.49658966064453,68.53167724609375,159803.35104222532,-1017.6179285277261,-578486.9893334906,1.0,0.0
84.86269556288607,24.12749453394062,2405.07763671875,89.52276611328125,42.96339797973633,37.906982421875,159804.13835587876,-1017.5993906785383,-578489.7490537573,1.0,0.0
87.79733429918997,24.669588885095276,2402.63232421875,89.6822509765625,351.2672424316406,-13.8890380859375,159804.9413566311,-1017.5780608583822,-578492.5718523529,1.0,0.0
90.29262518195901,25.122049677785995,2400.5947265625,89.7718505859375,302.38336181640625,-62.8583984375,159805.6219490567,-1017.5602118898763,-578494.9726451739,1.0,0.0
93.34674295317382,25.66548408922329,2398.1494140625,89.88809204101562,275.231689453125,-90.0,159806.4529249316,-1017.5410768319501,-578497.9116480328,1.0,0.0
96.46614263439551,26.210101701563516,2395.704345703125,89.617431640625,110.01937103271484,104.56971740722656,159807.3035077659,-1017.5245311786069,-578500.9129508241,1.0,0.0
99.65099869854748,26.75584290074963,2393.25927734375,89.45968627929688,81.76762390136719,76.22706604003906,159808.1746742924,-1017.5080279637708,-578503.9764785864,1.0,0.0
102.90134704567026,27.30208738312435,2390.81396484375,89.53436279296875,47.07209014892578,41.432525634765625,159809.06582222186,-1017.4886874486341,-578507.1024617496,1.0,0.0
106.21733948378824,27.84971626328811,2388.368896484375,89.6417236328125,351.4137268066406,-14.316162109375,159809.9726194053,-1017.4661452700033,-578510.2922216707,1.0,0.0
109.5991601649439,28.398605793746945,2385.923828125,89.7420654296875,306.0008544921875,-59.840057373046875,159810.89452036758,-1017.4428549934759,-578513.5461076602,1.0,0.0
113.04686473822221,28.94794108509671,2383.478515625,89.89913940429688,275.8409729003906,-90.0,159811.83222068654,-1017.4218937088384,-578516.8639794758,1.0,0.0
116.5605915755732,29.49838463023207,2381.033447265625,89.56838989257812,110.97465515136719,104.92529296875,159812.7900152468,-1017.4036868740453,-578520.2447605133,1.0,0.0
120.1404630887555,30.05010927164259,2378.58837890625,89.456787109375,85.70979309082031,79.57093811035156,159813.76847985125,-1017.3858921457662,-578523.6884645968,1.0,0.0
123.78655848046765,30.602367642120896,2376.14306640625,89.565673828125,45.58391571044922,39.344940185546875,159814.76685353686,-1017.3652766276731,-578527.1953943152,1.0,0.0
127.49900374992285,31.155927625429516,2373.69775390625,89.61846923828125,348.4923400878906,-17.839080810546875,159815.78108395645,-1017.3413553167715,-578530.7667905535,1.0,0.0
130.643527529086,31.618252966381856,2371.66015625,89.69482421875,318.7773132324219,-47.650177001953125,159816.63804100707,-1017.3203700710668,-578533.792427355,1.0,0.0
134.47803864395246,32.17352042370077,2369.215087890625,89.9515380859375,276.47064208984375,-90.0,159817.6811482105,-1017.2971584726705,-578537.4824703459,1.0,0.0
137.72440963611007,32.63673276382584,2367.177490234375,89.63900756835938,119.63673400878906,113.01179504394531,159818.56538098305,-1017.2801750828161,-578540.6061870516,1.0,0.0
141.68128669180442,33.19415021419803,2364.732421875,89.46734619140625,98.45109558105469,91.74429321289062,159819.64556444282,-1017.2613020469083,-578544.412925292,1.0,0.0
145.70506704156287,33.7522083765948,2362.287109375,89.57159423828125,61.22893142700195,54.41685485839844,159820.74590814783,-1017.2407151390447,-578548.2835310001,1.0,0.0
149.79588964942377,34.31103767623895,2359.842041015625,89.6043701171875,1.4199016094207764,-5.47967529296875,159821.86335112053,-1017.2165588070287,-578552.2189614986,1.0,0.0
153.95388978428673,34.87139203663332,2357.39697265625,89.642822265625,329.4393615722656,-37.57781982421875,159822.99631040767,-1017.1899040271177,-578556.2197869896,1.0,0.0
158.8899501238484,35.52621269956329,2354.544189453125,89.95574951171875,277.10791015625,-90.0,159824.33903839038,-1017.1602126289739,-578560.9699069875,1.0,0.0
163.1938979923725,36.08805039988941,2352.09912109375,89.56344604492188,117.90779113769531,110.66070556640625,159825.51133902362,-1017.1380816627874,-578565.1112527639,1.0,0.0
167.56532825529575,36.65129280434371,2349.65380859375,89.494873046875,100.20848846435547,92.87083435058594,159826.70441416852,-1017.1178775359525,-578569.3169019956,1.0,0.0
172.00443875673227,37.21553159635887,2347.208740234375,89.65170288085938,51.321510314941406,43.88386535644531,159827.9170561052,-1017.0958417583837,-578573.5873642928,1.0,0.0
176.5112947509624,37.78039126795454,2344.763671875,89.5836181640625,351.2835998535156,-16.25054931640625,159829.14620699768,-1017.0702974726095,-578577.9235482276,1.0,0.0
181.08601824671496,38.34650379117096,2342.318359375,89.65057373046875,334.19244384765625,-33.454681396484375,159830.3912814004,-1017.0420616794958,-578582.3257563572,1.0,0.0
185.72877911187243,38.91383395720826,2339.873046875,89.92868041992188,277.76788330078125,-90.0,159831.6536724666,-1017.0149140287771,-578586.7937513092,1.0,0.0
190.43965050240513,39.481364090833566,2337.42822265625,89.551513671875,119.03427124023438,111.17140197753906,159832.93631054825,-1016.9908664156331,-578591.3267870357,1.0,0.0
195.21867412223946,40.05011984003837,2334.98291015625,89.5174560546875,107.62101745605469,99.66323852539062,159834.239696574,-1016.9694498707189,-578595.9248349253,1.0,0.0
