obs_alt,obs_vel,obs_fuel,obs_pitch,obs_heading,obs_roll,obs_pos_x,obs_pos_y,obs_pos_z,act_throttle,act_stage
14.28802686673589,2.4771849898398335,2508.996826171875,89.860107421875,281.1403503417969,-79.25881958007812,159784.1156203567,-1018.0165574220632,-578421.9844483985,1.0,0.0
14.56642674608156,2.9740380096048233,2506.958984375,89.8546142578125,281.20184326171875,-79.19732666015625,159784.1883597299,-1018.0167497504194,-578422.2531803297,1.0,0.0
14.966167362057604,3.5713805121120688,2504.51416015625,89.84933471679688,281.2792663574219,-79.1212158203125,159784.29247341404,-1018.0169545482536,-578422.6391304341,1.0,0.0
15.354101007804275,4.070098852816894,2502.476318359375,89.84548950195312,281.329833984375,-79.07003784179688,159784.39330724525,-1018.017110620222,-578423.0137379693,1.0,0.0
15.885529698920436,4.669681119466322,2500.03125,89.84677124023438,281.39178466796875,-79.0069580078125,159784.5312519712,-1018.0172849973355,-578423.5269621689,1.0,0.0
16.48899800644722,5.270486046020016,2497.5859375,89.84423828125,281.4288330078125,-78.97174072265625,159784.68774035582,-1018.0174505985965,-578424.1097986299,1.0,0.0
17.164644518634304,5.872514976578088,2495.140869140625,89.84677124023438,281.45111083984375,-78.94808959960938,159784.8628304963,-1018.0176137663116,-578424.7623839304,1.0,0.0
17.782932728528976,6.375141490814769,2493.103271484375,89.84933471679688,281.462158203125,-78.93582153320312,159785.02298550363,-1018.0177506455843,-578425.3595847229,1.0,0.0
18.591306533897296,6.979417560120654,2490.658203125,89.85064697265625,281.4740905761719,-78.9249267578125,159785.2323091544,-1018.0179194440757,-578426.1404030275,1.0,0.0
19.472277509514242,7.584920583631992,2488.212890625,89.8546142578125,281.46728515625,-78.93124389648438,159785.4603720967,-1018.018096502467,-578426.9913642082,1.0,0.0
20.2619840396801,8.09044545180637,2486.17529296875,89.8546142578125,281.43896484375,-78.95904541015625,159785.6647709858,-1018.0182513972436,-578427.7541817065,1.0,0.0
21.276437571505085,8.69820249055232,2483.72998046875,89.85873413085938,281.4114074707031,-78.98529052734375,159785.9273028192,-1018.0184487705742,-578428.7341046206,1.0,0.0
22.363913731300272,9.307190192432977,2481.284912109375,89.85598754882812,281.373291015625,-79.02255249023438,159786.2086940745,-1018.0186608196859,-578429.7845710653,1.0,0.0
23.52455374598503,9.917409304828153,2478.83984375,89.85736083984375,281.341796875,-79.05511474609375,159786.50898513422,-1018.0188928382163,-578430.9057230839,1.0,0.0
24.75850804534275,10.528862092262363,2476.39453125,89.860107421875,281.3154296875,-79.08175659179688,159786.82821297378,-1018.0191465966095,-578432.0977041952,1.0,0.0
26.06592648883816,11.14155017705179,2473.949462890625,89.860107421875,281.3026428222656,-79.09280395507812,159787.16641362623,-1018.0194216524874,-578433.3606579083,1.0,0.0
27.44695424044039,11.75547346351528,2471.50439453125,89.860107421875,281.2948913574219,-79.1015625,159787.52362485934,-1018.0197194754769,-578434.6947276741,1.0,0.0
28.90174235450104,12.370633645543363,2469.05908203125,89.860107421875,281.27294921875,-79.12213134765625,159787.8998817382,-1018.0200391770964,-578436.1000576899,1.0,0.0
30.170518579194322,12.884212861062668,2467.021484375,89.860107421875,281.255126953125,-79.1395263671875,159788.2280054756,-1018.0203226437484,-578437.325704475,1.0,0.0
31.760919870925136,13.501643598515495,2464.576416015625,89.860107421875,281.2391662597656,-79.15631103515625,159788.63927597244,-1018.0206855736365,-578438.862052114,1.0,0.0
33.42549313965719,14.120314469593351,2462.13134765625,89.86151123046875,281.2196350097656,-79.1768798828125,159789.069692894,-1018.021073825254,-578440.470068718,1.0,0.0
34.86941545212176,14.636821910074927,2460.09375,89.860107421875,281.21478271484375,-79.1815185546875,159789.44302442163,-1018.0214187047136,-578441.86493435,1.0,0.0
36.67038045008667,15.257768805828029,2457.6484375,89.86151123046875,281.2140197753906,-79.18307495117188,159789.90863440515,-1018.0218572724302,-578443.6047208663,1.0,0.0
38.5459501206642,15.879958824097935,2455.203125,89.860107421875,281.20794677734375,-79.18722534179688,159790.39348938255,-1018.0223222952959,-578445.4165879673,1.0,0.0
