obs_alt,obs_vel,obs_fuel,obs_pitch,obs_heading,obs_roll,obs_pos_x,obs_pos_y,obs_pos_z,obs_ap,obs_pe,obs_time_to_ap,act_throttle,act_stage
19.57964511855971,5.678423060175149,11817.0693359375,89.91842651367188,269.61859130859375,-90.0,159784.7223604391,-1016.3262812903749,-578427.4863074163,93.76826269424055,-598435.276161939,0.5820475920446029,1.0,0.0
20.219833321054466,6.858344008970991,11805.4150390625,89.9072265625,269.5142517089844,-90.0,159784.89178263288,-1016.3273285772784,-578428.1036714253,95.166581389145,-598435.2851042022,0.7029940630123974,1.0,0.0
21.14405539969448,8.277703373250691,11791.4306640625,89.90109252929688,269.4012145996094,-90.0,159785.13651362158,-1016.3289622306957,-578428.9949000572,97.19186736131087,-598435.3002857708,0.8484858883792867,1.0,0.0
22.2388302605832,9.700244444236068,11777.4453125,89.903076171875,269.304931640625,-90.0,159785.42641258895,-1016.3308977514289,-578430.0505921047,99.59738467948046,-598435.3370350619,0.994306392122553,1.0,0.0
23.504521986702457,11.125708554025476,11763.4609375,89.89532470703125,269.22772216796875,-90.0,159785.7614361423,-1016.3330609782033,-578431.2711355237,102.38459952443372,-598435.387104709,1.1404295213852151,1.0,0.0
24.690068827476352,12.315798119220894,11751.806640625,89.88986206054688,269.17510986328125,-90.0,159786.07513244415,-1016.3350349388684,-578432.4144315257,104.99999543488957,-598435.4293141752,1.2624272481788807,1.0,0.0
26.270005649421364,13.746554829443193,11737.822265625,89.88809204101562,269.12255859375,-90.0,159786.4930522267,-1016.3375971949326,-578433.9380892778,108.49114341265522,-598435.4812958548,1.4090996662700377,1.0,0.0
28.021840644767508,15.180206088391616,11723.837890625,89.88809204101562,269.0809020996094,-90.0,159786.95626771453,-1016.3403366393077,-578435.627570741,112.36857143731322,-598435.5403002579,1.5560731187266583,1.0,0.0
29.613264158950187,16.37712990207491,11712.18359375,89.8863525390625,269.05419921875,-90.0,159787.3769089538,-1016.342731560454,-578437.1623946568,115.89602172654122,-598435.5936780587,1.6787816360414922,1.0,0.0
31.68114722124301,17.8161001207724,11698.19921875,89.88296508789062,278.59930419921875,-80.41043090820312,159787.92328662347,-1016.3457312508153,-578439.1567893163,120.48590366553981,-598435.6590264185,1.8263095010571533,1.0,0.0
33.92191632674076,19.257979061360604,11684.21484375,89.88296508789062,278.8293151855469,-80.16378784179688,159788.51513599165,-1016.3488716472539,-578441.3179816101,125.46674322115723,-598435.7230739978,1.974141249202603,1.0,0.0
36.33591866667848,20.702771582066827,11670.2294921875,89.88296508789062,278.7624206542969,-80.21762084960938,159789.15253738573,-1016.352150902957,-578443.6463126922,130.84020500571933,-598435.7881621148,2.122277853575781,1.0,0.0
38.48017052002251,21.908995017424857,11658.576171875,89.87966918945312,278.61285400390625,-80.36251831054688,159789.7185548099,-1016.3549867559823,-578445.7145108823,135.61921719554812,-598435.8429942584,2.245958668723347,1.0,0.0
41.212674749665894,23.35914298149767,11644.5908203125,89.88296508789062,278.51678466796875,-80.45346069335938,159790.4396729565,-1016.3585183237346,-578448.3501492348,141.71683924191166,-598435.9072052533,2.3946569039356973,1.0,0.0
44.11941039690282,24.81221715351966,11630.6064453125,89.88131713867188,278.284423828125,-80.68621826171875,159791.20657793706,-1016.362202850044,-578451.1538928478,148.21183978090994,-598435.9711196074,2.5436627111452026,1.0,0.0
46.67503714701161,26.025353209652096,11618.953125,89.87966918945312,277.9449157714844,-81.02590942382812,159791.88070344823,-1016.3653969251218,-578453.6190037247,153.92912027763668,-598436.0234778312,2.668070115449325,1.0,0.0
49.9021096881479,27.483809804562796,11604.9677734375,89.87966918945312,277.64227294921875,-81.33258056640625,159792.73177991068,-1016.3693817824724,-578456.7318226673,161.15706435136963,-598436.0851313404,2.817642957070177,1.0,0.0
53.30439354327973,28.945208111040937,11590.9833984375,89.88131713867188,277.27423095703125,-81.70556640625,159793.62889345348,-1016.37353708303,-578460.0137118535,168.78721141256392,-598436.1457136534,2.967526418334785,1.0,0.0
56.88226927083451,30.40955594465931,11576.9990234375,89.8846435546875,269.0010681152344,-90.0,159794.57213594447,-1016.377876640171,-578463.4650126796,176.82128436828498,-598436.2052711983,3.117721821196426,1.0,0.0
59.9982097967295,31.632100014956357,11565.3447265625,89.8846435546875,269.0047607421875,-90.0,159795.39347604947,-1016.3816418395045,-578466.4707563568,183.82613799744286,-598436.253284907,3.243123446402649,1.0,0.0
63.89888467558194,33.10186252333904,11551.3603515625,89.8846435546875,269.009765625,-90.0,159796.4215262078,-1016.3863379330041,-578470.2335351437,192.6052089560544,-598436.3099656247,3.3938928618538284,1.0,0.0
67.97614998661447,34.57458660079685,11537.375,89.8863525390625,269.0147705078125,-90.0,159797.49595789815,-1016.3912349127831,-578474.1666937151,201.79310574871488,-598436.3668811729,3.5449769415149035,1.0,0.0
71.5090251135407,35.80412243532078,11525.7216796875,89.8863525390625,269.018798828125,-90.0,159798.42681022183,-1016.3954711825254,-578477.5747347503,209.76324288733304,-598436.4136579611,3.671121462010717,1.0,0.0
75.91096872545313,37.282288500248974,11511.736328125,89.88809204101562,269.02313232421875,-90.0,159799.58650438723,-1016.4007606402638,-578481.8211647398,219.7051914425101,-598436.468122366,3.8227851374044235,1.0,0.0
79.71488498919643,38.516367815294046,11500.0830078125,89.8846435546875,269.0265808105469,-90.0,159800.58853500968,-1016.4053450942638,-578485.4907429315,228.30617157102097,-598436.513523449,3.9494142805609727,1.0,0.0
84.44267429388128,39.99999552481233,11486.0986328125,89.8846435546875,269.0312805175781,-90.0,159801.83378106708,-1016.4110491023066,-578490.0516047229,239.0081025020918,-598436.5691109841,4.101661360928972,1.0,0.0
88.51864170504268,41.2386318597562,11474.4443359375,89.88809204101562,269.0350036621094,-90.0,159802.90721710617,-1016.4159705013635,-578493.983698125,248.2448764120927,-598436.6148120634,4.228778036276935,1.0,0.0
93.5734983648872,42.727731385700764,11460.4599609375,89.88809204101562,269.0385437011719,-90.0,159804.23829303763,-1016.42209033376,-578498.8601599797,259.7127260765992,-598436.6688729846,4.381611465732192,1.0,0.0
