obs_alt,obs_vel,obs_fuel,obs_mass,obs_pitch,obs_heading,obs_roll,obs_pos_x,obs_pos_y,obs_pos_z,obs_ap,obs_pe,obs_time_to_ap,act_throttle,act_pitch,act_stage
14.19680042238906,2.477584543193634,2508.996826171875,39375.7421875,89.92340087890625,270.2597961425781,-90.0,159784.0966895606,-1018.0151575971395,-578422.0798035129,87.05525085912086,-598435.2532576254,0.25395117105802,1.0,1.0,0.0
14.536894849152304,3.073928305750744,2506.5517578125,39348.57421875,89.92599487304688,270.2501220703125,-90.0,159784.1864661184,-1018.0155474860221,-578422.4078326763,87.56501117325388,-598435.2795178473,0.3150765542364411,1.0,1.0,0.0
14.875029598362744,3.571812757371419,2504.51416015625,39325.93359375,89.92599487304688,270.24267578125,-90.0,159784.27569984,-1018.0159038119018,-578422.7339812056,88.07272245560307,-598435.3020792382,0.36611005439658584,1.0,1.0,0.0
15.34658866468817,4.170393515628517,2502.06884765625,39298.765625,89.91152954101562,270.2346496582031,-90.0,159784.4001101129,-1018.0163607858121,-578423.1888335713,88.78179173695389,-598435.3298807594,0.4274653113395743,1.0,1.0,0.0
15.890064263599925,4.770197085587258,2499.62353515625,39271.59765625,89.91607666015625,270.2276611328125,-90.0,159784.54345306655,-1018.0168416397646,-578423.7130660631,89.60010233160574,-598435.3581063009,0.4889463089367041,1.0,1.0,0.0
16.39800360123627,5.270968004421884,2497.5859375,39248.95703125,89.91607666015625,270.22259521484375,-90.0,159784.67739237938,-1018.0172580135986,-578424.2030287411,90.365745465504,-598435.3816609728,0.5402766227801976,1.0,1.0,0.0
17.073711965465918,5.87301636027823,2495.140869140625,39221.7890625,89.91607666015625,270.21734619140625,-90.0,159784.85553316068,-1018.0177747234702,-578424.8548300712,91.38530268403701,-598435.410086264,0.6019886074888632,1.0,1.0,0.0
17.82174656202551,6.476291190670305,2492.69580078125,39194.6171875,89.91607666015625,270.21307373046875,-90.0,159785.05270169314,-1018.0183092122898,-578425.5764178104,92.51516258448828,-598435.4387516236,0.663826881640091,1.0,1.0,0.0
18.642268800991587,7.080794066405018,2490.25048828125,39167.453125,89.91607666015625,270.20953369140625,-90.0,159785.26893026487,-1018.0188580574468,-578426.3679352165,93.75570137309842,-598435.4676793632,0.7257916682081031,1.0,1.0,0.0
19.535414386191405,7.686526771534852,2487.805419921875,39140.28515625,89.91152954101562,270.2066650390625,-90.0,159785.50425172682,-1018.0194196822122,-578427.229526453,95.10729717777576,-598435.4966376892,0.7878832131738136,1.0,1.0,0.0
