obs_alt,obs_vel,obs_fuel,obs_mass,obs_pitch,obs_heading,obs_roll,obs_pos_x,obs_pos_y,obs_pos_z,obs_ap,obs_pe,obs_time_to_ap,act_throttle,act_pitch,act_stage
19.815145905362442,26.994831848317066,2468.710693359375,48428.12109375,89.95574951171875,289.39697265625,-90.0,159785.6132208924,-1018.0253952539497,-578427.3889584023,129.61166914366186,-598435.5366346721,2.76723197440964,1.0,1.0,0.0
23.481460355455056,33.08705174319719,2457.31298828125,48301.48046875,89.96044921875,297.15252685546875,-90.0,159786.5862949951,-1018.0301827176445,-578430.9237804848,152.04093709366862,-598435.5734254819,3.3919255193196136,1.0,1.0,0.0
27.880013702088036,39.19580913711009,2445.91552734375,48174.83984375,89.96044921875,305.4546203613281,-90.0,159787.75394914197,-1018.0353863744967,-578435.164512946,179.07612256438006,-598435.575048517,4.018426247819775,1.0,1.0,0.0
33.01273099356331,45.32031274965458,2434.51806640625,48048.19921875,89.95574951171875,314.0575866699219,-90.0,159789.1168720509,-1018.041006090396,-578440.1129676669,210.7477681656601,-598435.5477317838,4.646674513056098,1.0,1.0,0.0
38.88144574407488,51.45983953862776,2423.120361328125,47921.5625,89.9515380859375,322.5251159667969,-90.0,159790.67560503114,-1018.0470310731762,-578445.7708977683,247.08499112469144,-598435.5136180001,5.276617579583615,1.0,1.0,0.0
45.48792098171543,57.6137944399455,2411.72265625,47794.921875,89.95574951171875,330.7138671875,-90.0,159792.4306218328,-1018.0534482731455,-578452.1399998735,288.11607250070665,-598435.466082158,5.908216455032914,1.0,1.0,0.0
52.83386379049625,63.781645499380154,2400.3251953125,47668.28125,89.96044921875,338.4786376953125,-90.0,159794.38243128324,-1018.060336215698,-578459.2218904116,333.8684309909586,-598435.4018787331,6.5414388325784785,1.0,1.0,0.0
60.920903464080766,69.9629065332791,2388.927490234375,47541.640625,89.95574951171875,345.6109924316406,-90.0,159796.53147966354,-1018.0678080583893,-578467.0181421223,384.36868711875286,-598435.3352113434,7.176256933950469,1.0,1.0,0.0
69.75058457802515,76.1571424207432,2377.52978515625,47415.0,89.96572875976562,351.97515869140625,-90.0,159798.87814008497,-1018.0759214091086,-578475.5302859421,439.642871022108,-598435.2657904981,7.812648695381597,1.0,1.0,0.0
79.32448763947468,82.36392091599068,2366.13232421875,47288.359375,89.96044921875,357.4795837402344,-90.0,159801.42278342778,-1018.0847510484018,-578484.7598093709,499.7161718403222,-598435.1960997006,8.450592480753699,1.0,1.0,0.0
89.64403234957717,88.5826785109262,2354.734619140625,47161.71875,89.9720458984375,2.0059235095977783,-90.0,159804.1657289482,-1018.0943895320379,-578494.7081405823,564.6116965514375,-598435.1343496992,9.090053163073435,1.0,1.0,0.0
100.71053853130434,94.811489701804,2343.3369140625,47035.078125,89.9515380859375,5.327040195465088,-90.0,159807.10719920776,-1018.1048867574864,-578505.3765797173,634.3379998330493,-598435.0831265514,9.73085581759932,1.0,1.0,0.0
112.52532854897436,101.05190980374523,2331.939453125,46908.4375,89.96044921875,6.97144889831543,-90.0,159810.2474173656,-1018.1162824577623,-578516.7663994147,708.9350630521076,-598435.045727984,10.37318350966217,1.0,1.0,0.0
125.08982395543717,107.3047046251536,2320.5419921875,46781.796875,89.9515380859375,7.156560897827148,-90.0,159813.58668674264,-1018.1285808741086,-578528.8790306775,788.4386708645616,-598435.0056600368,11.017139273055363,1.0,1.0,0.0
138.40549946122337,113.56931390908181,2309.14404296875,46655.15625,89.95574951171875,6.210099697113037,-90.0,159817.1253109585,-1018.1416818595462,-578541.7158907569,872.8713538283482,-598434.976481192,11.662688960273783,1.0,1.0,0.0
152.47375033213757,119.84568399590017,2297.74658203125,46528.51953125,89.9515380859375,4.351564884185791,-90.0,159820.86356017523,-1018.1555220841401,-578555.2783781878,962.2607251807349,-598434.9562763717,12.309851294442922,1.0,1.0,0.0
167.29598964366596,126.1338373978447,2286.34912109375,46401.87890625,89.9515380859375,1.8913865089416504,-90.0,159824.80169641468,-1018.1700931622618,-578569.567876512,1056.635564945871,-598434.9429753093,12.958653133352072,1.0,1.0,0.0
182.8736413141014,132.43373696751343,2274.951416015625,46275.23828125,89.94766235351562,359.1217041015625,-90.0,159828.9400092001,-1018.1853642522328,-578584.585769869,1156.024191339966,-598434.938260169,13.609115303206408,1.0,1.0,0.0
199.2080688684946,138.74530279581643,2263.5537109375,46148.59765625,89.940673828125,356.3927001953125,-90.0,159833.27874119204,-1018.2012932582729,-578600.3334561959,1260.4545358947944,-598434.9438955269,14.261254464995773,1.0,1.0,0.0
